Sector,University,Year,Completions,Geography
"Private for-profit, 2-year",Pima Medical Institute-Las Vegas,2016,591,Nevada
"Private for-profit, less-than 2-year",Healthcare Preparatory Institute,2016,28,Nevada
"Private for-profit, less-than 2-year",Milan Institute-Las Vegas,2016,408,Nevada
"Private for-profit, less-than 2-year",Utah College of Massage Therapy-Vegas,2016,240,Nevada
"Public, 4-year or above",Western Nevada College,2016,960,Nevada
"Private for-profit, less-than 2-year",Advanced Training Institute,2016,372,Nevada
"Public, 4-year or above",Great Basin College,2016,858,Nevada
"Private for-profit, less-than 2-year",European Massage Therapy School-Las Vegas,2016,85,Nevada
"Private for-profit, less-than 2-year",Institute of Professional Careers,2016,24,Nevada
"Public, 4-year or above",Nevada State College,2016,420,Nevada
"Private for-profit, less-than 2-year",Milan Institute-Sparks,2016,271,Nevada
"Public, 4-year or above",University of Nevada-Las Vegas,2016,5367,Nevada
"Private for-profit, less-than 2-year",Academy of Hair Design-Las Vegas,2016,124,Nevada
"Private for-profit, 2-year",Northwest Career College,2016,208,Nevada
"Public, 4-year or above",University of Nevada-Reno,2016,4309,Nevada
"Private for-profit, 2-year",Le Cordon Bleu College of Culinary Arts-Las Vegas,2016,222,Nevada
"Private not-for-profit, 4-year or above",Sierra Nevada College,2016,261,Nevada
"Private not-for-profit, 4-year or above",Wongu University of Oriental Medicine,2016,0,Nevada
"Private for-profit, 2-year",Carrington College-Reno,2016,165,Nevada
"Private for-profit, 2-year",Carrington College-Las Vegas,2016,210,Nevada
"Private not-for-profit, 4-year or above",Touro University Nevada,2016,356,Nevada
"Public, 4-year or above",College of Southern Nevada,2016,4763,Nevada
"Private not-for-profit, 4-year or above",Roseman University of Health Sciences,2016,591,Nevada
"Private for-profit, 2-year",Brightwood College-Las Vegas,2016,581,Nevada
"Private for-profit, 2-year",Career College of Northern Nevada,2016,299,Nevada
"Private for-profit, 4-year or above",University of Phoenix-Nevada,2016,423,Nevada
"Private for-profit, 4-year or above",Chamberlain College of Nursing-Nevada,2016,0,Nevada
"Private for-profit, 4-year or above",Arizona College-Las Vegas,2016,0,Nevada
"Private for-profit, 2-year",Aviation Institute of Maintenance-Las Vegas,2016,83,Nevada
"Private for-profit, 2-year",Paul Mitchell the School-Reno,2016,74,Nevada
"Private for-profit, 2-year",Paul Mitchell the School-Las Vegas,2016,156,Nevada
"Private for-profit, 4-year or above",DeVry University-Nevada,2016,99,Nevada
"Private for-profit, 2-year",International Academy of Style,2016,71,Nevada
"Private for-profit, 4-year or above",The Art Institute of Las Vegas,2016,135,Nevada
"Private for-profit, 2-year",Casal Institute of Nevada,2016,109,Nevada
"Private for-profit, 2-year",Milan Institute of Cosmetology-Reno,2016,83,Nevada
"Private for-profit, 4-year or above",Sanford-Brown College-Las Vegas,2016,91,Nevada
"Private for-profit, 2-year",Euphoria Institute of Beauty Arts & Sciences-Green Valley,2016,96,Nevada
"Private for-profit, 2-year",Euphoria Institute of Beauty Arts & Sciences-Summerlin,2016,187,Nevada
"Public, 2-year",Truckee Meadows Community College,2016,2431,Nevada
"Private for-profit, 2-year",Nevada Career Institute,2016,151,Nevada
"Private not-for-profit, 2-year",Everest College-Henderson,2016,233,Nevada
"Private not-for-profit, 2-year",Expertise Cosmetology Institute,2016,89,Nevada
"Private for-profit, 2-year",Pima Medical Institute-Las Vegas,2015,597,Nevada
"Private not-for-profit, 4-year or above",Roseman University of Health Sciences,2015,517,Nevada
"Private for-profit, less-than 2-year",Milan Institute-Sparks,2015,320,Nevada
"Public, 4-year or above",University of Nevada-Las Vegas,2015,5335,Nevada
"Private for-profit, 2-year",Brightwood College-Las Vegas,2015,721,Nevada
"Private for-profit, less-than 2-year",Healthcare Preparatory Institute,2015,38,Nevada
"Private for-profit, 4-year or above",ITT Technical Institute-Las Vegas,2015,197,Nevada
"Private for-profit, 2-year",Career College of Northern Nevada,2015,317,Nevada
"Private for-profit, 4-year or above",University of Phoenix-Nevada,2015,600,Nevada
"Private for-profit, less-than 2-year",Advanced Training Institute,2015,266,Nevada
"Private for-profit, 4-year or above",Chamberlain College of Nursing-Nevada,2015,0,Nevada
"Private for-profit, less-than 2-year",Academy of Hair Design-Las Vegas,2015,180,Nevada
"Private for-profit, 4-year or above",Arizona College-Las Vegas,2015,0,Nevada
"Public, 4-year or above",Great Basin College,2015,769,Nevada
"Public, 4-year or above",University of Nevada-Reno,2015,4004,Nevada
"Private for-profit, 2-year",Aviation Institute of Maintenance-Las Vegas,2015,29,Nevada
"Private for-profit, less-than 2-year",Milan Institute-Las Vegas,2015,417,Nevada
"Private for-profit, 4-year or above",ITT Technical Institute-Henderson,2015,127,Nevada
"Private for-profit, 2-year",Paul Mitchell the School-Reno,2015,83,Nevada
"Private for-profit, 2-year",Northwest Career College,2015,184,Nevada
"Private for-profit, 4-year or above",DeVry University-Nevada,2015,108,Nevada
"Public, 4-year or above",College of Southern Nevada,2015,4630,Nevada
"Private for-profit, 2-year",Paul Mitchell the School-Las Vegas,2015,120,Nevada
"Private for-profit, 2-year",Le Cordon Bleu College of Culinary Arts-Las Vegas,2015,138,Nevada
"Private for-profit, 2-year",International Academy of Style,2015,84,Nevada
"Private for-profit, 4-year or above",The Art Institute of Las Vegas,2015,185,Nevada
"Private not-for-profit, 4-year or above",Sierra Nevada College,2015,309,Nevada
"Private for-profit, less-than 2-year",European Massage Therapy School-Las Vegas,2015,67,Nevada
"Private for-profit, 2-year",Casal Institute of Nevada,2015,108,Nevada
"Public, 4-year or above",Western Nevada College,2015,925,Nevada
"Private for-profit, 4-year or above",Sanford-Brown College-Las Vegas,2015,89,Nevada
"Public, 4-year or above",Nevada State College,2015,393,Nevada
"Private for-profit, 2-year",Milan Institute of Cosmetology-Reno,2015,82,Nevada
