DATE,MRTSSM448USN
1992-01-01,6938
1992-02-01,7524
1992-03-01,8475
1992-04-01,9401
1992-05-01,9558
1992-06-01,9182
1992-07-01,9103
1992-08-01,10513
1992-09-01,9573
1992-10-01,10254
1992-11-01,11187
1992-12-01,18395
1993-01-01,7502
1993-02-01,7524
1993-03-01,8766
1993-04-01,9867
1993-05-01,10063
1993-06-01,9635
1993-07-01,9794
1993-08-01,10628
1993-09-01,10013
1993-10-01,10346
1993-11-01,11760
1993-12-01,18851
1994-01-01,7280
1994-02-01,7902
1994-03-01,9921
1994-04-01,9869
1994-05-01,10009
1994-06-01,9893
1994-07-01,9735
1994-08-01,11157
1994-09-01,10217
1994-10-01,10730
1994-11-01,12354
1994-12-01,20016
1995-01-01,7518
1995-02-01,7961
1995-03-01,9815
1995-04-01,10168
1995-05-01,10620
1995-06-01,10301
1995-07-01,9784
1995-08-01,11264
1995-09-01,10710
1995-10-01,10439
1995-11-01,12751
1995-12-01,20002
1996-01-01,7684
1996-02-01,8991
1996-03-01,10349
1996-04-01,10570
1996-05-01,11405
1996-06-01,10554
1996-07-01,10202
1996-08-01,12134
1996-09-01,10623
1996-10-01,11250
1996-11-01,12875
1996-12-01,19944
1997-01-01,8194
1997-02-01,8835
1997-03-01,10840
1997-04-01,10131
1997-05-01,11505
1997-06-01,10654
1997-07-01,10734
1997-08-01,12461
1997-09-01,10942
1997-10-01,11635
1997-11-01,13244
1997-12-01,21118
1998-01-01,8800
1998-02-01,9499
1998-03-01,10863
1998-04-01,11825
1998-05-01,12239
1998-06-01,11451
1998-07-01,11633
1998-08-01,12971
1998-09-01,11214
1998-10-01,12384
1998-11-01,13854
1998-12-01,22418
1999-01-01,9237
1999-02-01,10171
1999-03-01,12081
1999-04-01,12386
1999-05-01,13167
1999-06-01,12280
1999-07-01,12461
1999-08-01,13734
1999-09-01,12357
1999-10-01,12948
1999-11-01,14643
1999-12-01,24286
2000-01-01,9447
2000-02-01,11170
2000-03-01,12841
2000-04-01,13124
2000-05-01,13735
2000-06-01,12953
2000-07-01,12500
2000-08-01,14610
2000-09-01,13375
2000-10-01,13369
2000-11-01,15675
2000-12-01,24875
2001-01-01,10060
2001-02-01,11450
2001-03-01,13067
2001-04-01,13362
2001-05-01,13787
2001-06-01,12935
2001-07-01,12600
2001-08-01,14818
2001-09-01,12104
2001-10-01,13218
2001-11-01,15352
2001-12-01,24534
2002-01-01,10344
2002-02-01,11730
2002-03-01,13977
2002-04-01,13195
2002-05-01,14150
2002-06-01,13210
2002-07-01,12873
2002-08-01,15113
2002-09-01,12445
2002-10-01,14006
2002-11-01,15911
2002-12-01,25350
2003-01-01,10804
2003-02-01,11662
2003-03-01,13452
2003-04-01,13691
2003-05-01,14730
2003-06-01,13496
2003-07-01,13854
2003-08-01,15522
2003-09-01,13567
2003-10-01,14601
2003-11-01,16555
2003-12-01,26760
2004-01-01,11790
2004-02-01,13344
2004-03-01,14760
2004-04-01,15058
2004-05-01,15379
2004-06-01,14237
2004-07-01,14667
2004-08-01,15588
2004-09-01,14224
2004-10-01,15570
2004-11-01,17230
2004-12-01,28406
2005-01-01,12046
2005-02-01,13878
2005-03-01,15727
2005-04-01,15708
2005-05-01,15989
2005-06-01,15559
2005-07-01,15218
2005-08-01,16697
2005-09-01,14960
2005-10-01,16509
2005-11-01,18402
2005-12-01,30276
2006-01-01,12893
2006-02-01,14474
2006-03-01,16386
2006-04-01,16848
2006-05-01,17103
2006-06-01,16505
2006-07-01,16275
2006-08-01,17832
2006-09-01,16767
2006-10-01,17253
2006-11-01,19391
2006-12-01,31462
2007-01-01,13927
2007-02-01,15077
2007-03-01,18045
2007-04-01,17096
2007-05-01,18474
2007-06-01,17289
2007-07-01,16883
2007-08-01,18850
2007-09-01,16765
2007-10-01,17614
2007-11-01,20550
2007-12-01,30635
2008-01-01,14173
2008-02-01,15876
2008-03-01,17770
2008-04-01,17103
2008-05-01,19084
2008-06-01,17007
2008-07-01,17369
2008-08-01,19041
2008-09-01,15882
2008-10-01,16796
2008-11-01,18756
2008-12-01,26726
2009-01-01,13387
2009-02-01,14684
2009-03-01,15563
2009-04-01,16337
2009-05-01,17264
2009-06-01,15434
2009-07-01,16007
2009-08-01,17656
2009-09-01,15630
2009-10-01,17053
2009-11-01,18332
2009-12-01,27128
2010-01-01,13216
2010-02-01,14816
2010-03-01,17390
2010-04-01,17042
2010-05-01,17727
2010-06-01,16138
2010-07-01,16842
2010-08-01,17923
2010-09-01,16232
2010-10-01,17412
2010-11-01,20003
2010-12-01,28545
2011-01-01,13703
2011-02-01,15931
2011-03-01,18252
2011-04-01,18647
2011-05-01,18771
2011-06-01,17783
2011-07-01,17937
2011-08-01,19263
2011-09-01,17999
2011-10-01,18255
2011-11-01,20957
2011-12-01,31108
2012-01-01,14358
2012-02-01,17931
2012-03-01,20162
2012-04-01,18601
2012-05-01,19952
2012-06-01,18717
2012-07-01,18266
2012-08-01,20750
2012-09-01,18391
2012-10-01,18845
2012-11-01,22016
2012-12-01,31504
2013-01-01,15168
2013-02-01,17399
2013-03-01,20591
2013-04-01,19198
2013-05-01,20801
2013-06-01,18958
2013-07-01,19193
2013-08-01,21577
2013-09-01,18125
2013-10-01,19871
2013-11-01,22456
2013-12-01,31613
2014-01-01,15208
2014-02-01,17542
2014-03-01,20108
2014-04-01,20362
2014-05-01,21610
2014-06-01,18989
2014-07-01,19867
2014-08-01,22034
2014-09-01,18674
2014-10-01,20251
2014-11-01,23527
2014-12-01,32716
2015-01-01,15813
2015-02-01,18049
2015-03-01,20786
2015-04-01,20435
2015-05-01,22203
2015-06-01,19732
2015-07-01,20637
2015-08-01,22396
2015-09-01,19215
2015-10-01,20736
2015-11-01,23108
2015-12-01,33473
2016-01-01,15711
2016-02-01,18958
2016-03-01,21499
2016-04-01,20440
2016-05-01,21693
2016-06-01,20210
2016-07-01,20718
2016-08-01,22446
2016-09-01,19874
2016-10-01,20601
2016-11-01,23774
2016-12-01,34760
2017-01-01,15915
2017-02-01,18033
2017-03-01,21348
2017-04-01,21162
2017-05-01,21963
2017-06-01,20630
2017-07-01,20802
2017-08-01,22774
2017-09-01,19901
2017-10-01,20454
2017-11-01,24535
2017-12-01,33879
2018-01-01,15747
2018-02-01,18384
2018-03-01,22154
2018-04-01,20410
2018-05-01,23590
2018-06-01,21277
2018-07-01,21633
2018-08-01,23047
2018-09-01,19736
2018-10-01,21143
2018-11-01,25317
2018-12-01,33978
2019-01-01,16141
2019-02-01,17960
2019-03-01,22046
2019-04-01,21470
2019-05-01,23073
2019-06-01,21104
2019-07-01,21734
2019-08-01,23830
2019-09-01,19550
2019-10-01,21388
2019-11-01,25117
2019-12-01,35160
2020-01-01,16738
2020-02-01,19106
2020-03-01,10926
2020-04-01,2752
2020-05-01,8644
2020-06-01,16139
2020-07-01,17501
2020-08-01,18553
2020-09-01,18319
2020-10-01,19559
2020-11-01,20747
2020-12-01,31192
2021-01-01,15260
2021-02-01,15910
2021-03-01,23474
2021-04-01,22966
2021-05-01,25615
2021-06-01,24364
2021-07-01,24961
2021-08-01,24789
2021-09-01,22347
2021-10-01,24062
2021-11-01,28340
2021-12-01,38564
2022-01-01,17817
2022-02-01,20152
2022-03-01,25347
2022-04-01,25539
2022-05-01,26470
2022-06-01,24701
2022-07-01,24904
2022-08-01,26049
2022-09-01,23629
2022-10-01,24787
2022-11-01,28645
2022-12-01,39883
2023-01-01,19405
2023-02-01,20937
2023-03-01,24963
2023-04-01,24700
2023-05-01,26557.0
2023-06-01,24809.0
2023-07-01,25364.0
2023-08-01,27143.0
2023-09-01,23840.0
2023-10-01,24530.0
