DATE,IPN31152N
1972-01-01,60.1529
1972-02-01,67.2738
1972-03-01,74.4713
1972-04-01,78.3607
1972-05-01,85.0335
1972-06-01,100.9164
1972-07-01,100.4452
1972-08-01,96.6676
1972-09-01,86.0740
1972-10-01,70.6176
1972-11-01,61.0008
1972-12-01,58.8465
1973-01-01,61.2941
1973-02-01,72.4360
1973-03-01,80.3533
1973-04-01,84.1729
1973-05-01,87.6493
1973-06-01,110.0961
1973-07-01,107.7167
1973-08-01,99.9806
1973-09-01,91.9192
1973-10-01,75.5451
1973-11-01,66.1446
1973-12-01,61.7268
1974-01-01,63.1808
1974-02-01,75.5855
1974-03-01,84.5379
1974-04-01,84.8590
1974-05-01,90.8295
1974-06-01,110.2547
1974-07-01,104.2233
1974-08-01,101.3504
1974-09-01,89.7633
1974-10-01,73.9316
1974-11-01,66.3695
1974-12-01,61.2611
1975-01-01,64.4720
1975-02-01,75.6590
1975-03-01,85.4416
1975-04-01,85.3638
1975-05-01,97.6661
1975-06-01,113.8873
1975-07-01,108.4895
1975-08-01,105.1578
1975-09-01,90.4010
1975-10-01,75.9578
1975-11-01,70.4379
1975-12-01,62.9408
1976-01-01,62.1361
1976-02-01,74.2916
1976-03-01,87.2367
1976-04-01,90.4130
1976-05-01,94.4490
1976-06-01,110.3707
1976-07-01,107.7996
1976-08-01,104.1459
1976-09-01,92.5304
1976-10-01,75.3426
1976-11-01,67.7482
1976-12-01,62.6841
1977-01-01,63.9747
1977-02-01,75.3053
1977-03-01,90.3147
1977-04-01,92.9676
1977-05-01,99.4447
1977-06-01,115.0989
1977-07-01,112.6974
1977-08-01,106.7610
1977-09-01,92.0197
1977-10-01,76.2702
1977-11-01,67.6102
1977-12-01,61.6376
1978-01-01,62.0842
1978-02-01,73.1007
1978-03-01,84.1942
1978-04-01,89.3366
1978-05-01,92.7390
1978-06-01,111.6701
1978-07-01,107.2555
1978-08-01,104.0116
1978-09-01,90.9006
1978-10-01,79.4303
1978-11-01,68.0972
1978-12-01,62.5995
1979-01-01,63.2114
1979-02-01,74.1759
1979-03-01,86.7041
1979-04-01,91.4961
1979-05-01,95.0070
1979-06-01,110.4610
1979-07-01,107.5035
1979-08-01,107.1211
1979-09-01,95.6277
1979-10-01,79.8576
1979-11-01,68.1141
1979-12-01,63.4910
1980-01-01,67.2001
1980-02-01,76.6916
1980-03-01,86.1666
1980-04-01,88.2806
1980-05-01,92.4681
1980-06-01,108.8121
1980-07-01,108.2165
1980-08-01,108.1979
1980-09-01,90.9541
1980-10-01,76.4670
1980-11-01,66.6943
1980-12-01,64.0641
1981-01-01,60.7476
1981-02-01,76.7227
1981-03-01,86.8834
1981-04-01,89.3102
1981-05-01,93.9896
1981-06-01,111.0287
1981-07-01,111.1307
1981-08-01,106.4541
1981-09-01,91.7613
1981-10-01,77.1705
1981-11-01,71.2567
1981-12-01,66.8151
1982-01-01,62.2780
1982-02-01,77.2827
1982-03-01,88.7959
1982-04-01,86.5305
1982-05-01,93.6493
1982-06-01,107.2899
1982-07-01,101.4821
1982-08-01,98.5257
1982-09-01,86.4686
1982-10-01,72.3078
1982-11-01,66.2398
1982-12-01,61.6641
1983-01-01,63.7255
1983-02-01,74.5953
1983-03-01,86.9172
1983-04-01,83.7847
1983-05-01,94.6367
1983-06-01,110.5584
1983-07-01,107.8748
1983-08-01,105.6151
1983-09-01,96.1825
1983-10-01,79.3072
1983-11-01,70.5733
1983-12-01,65.7919
1984-01-01,67.2132
1984-02-01,85.8885
1984-03-01,97.0888
1984-04-01,102.1573
1984-05-01,108.6909
1984-06-01,129.2666
1984-07-01,125.5418
1984-08-01,116.9936
1984-09-01,107.2405
1984-10-01,88.5515
1984-11-01,80.6465
1984-12-01,74.2120
1985-01-01,76.4163
1985-02-01,86.8852
1985-03-01,101.5525
1985-04-01,105.1928
1985-05-01,114.6719
1985-06-01,131.0010
1985-07-01,124.9018
1985-08-01,117.8107
1985-09-01,104.3909
1985-10-01,86.4983
1985-11-01,74.8971
1985-12-01,70.8604
1986-01-01,73.9219
1986-02-01,89.2277
1986-03-01,100.3609
1986-04-01,104.6491
1986-05-01,113.6755
1986-06-01,127.7491
1986-07-01,121.7280
1986-08-01,119.4737
1986-09-01,97.1883
1986-10-01,86.6922
1986-11-01,77.2178
1986-12-01,70.8428
1987-01-01,74.1773
1987-02-01,94.8264
1987-03-01,103.9150
1987-04-01,107.1379
1987-05-01,117.1566
1987-06-01,132.3978
1987-07-01,127.7812
1987-08-01,124.0430
1987-09-01,107.0435
1987-10-01,89.6767
1987-11-01,84.8920
1987-12-01,79.9536
1988-01-01,80.1564
1988-02-01,98.3369
1988-03-01,115.4726
1988-04-01,119.7720
1988-05-01,130.4813
1988-06-01,151.4436
1988-07-01,145.9368
1988-08-01,141.2221
1988-09-01,117.7796
1988-10-01,100.4338
1988-11-01,88.0671
1988-12-01,83.3667
1989-01-01,87.9000
1989-02-01,104.6817
1989-03-01,115.7957
1989-04-01,121.5567
1989-05-01,126.4874
1989-06-01,140.8963
1989-07-01,135.4611
1989-08-01,128.6659
1989-09-01,110.8319
1989-10-01,97.7249
1989-11-01,91.0180
1989-12-01,86.2821
1990-01-01,82.7891
1990-02-01,104.1081
1990-03-01,117.6661
1990-04-01,122.3472
1990-05-01,126.9464
1990-06-01,141.7437
1990-07-01,144.0977
1990-08-01,129.4984
1990-09-01,114.7849
1990-10-01,98.6782
1990-11-01,88.2084
1990-12-01,86.0144
1991-01-01,85.5438
1991-02-01,105.1973
1991-03-01,118.4905
1991-04-01,123.4273
1991-05-01,128.3364
1991-06-01,157.9838
1991-07-01,141.1198
1991-08-01,136.1025
1991-09-01,121.3664
1991-10-01,104.0896
1991-11-01,92.1660
1991-12-01,89.2770
1992-01-01,90.5035
1992-02-01,110.7518
1992-03-01,131.8745
1992-04-01,135.6352
1992-05-01,143.2378
1992-06-01,158.7833
1992-07-01,147.5232
1992-08-01,144.3865
1992-09-01,127.4568
1992-10-01,109.8601
1992-11-01,99.6417
1992-12-01,93.2648
1993-01-01,95.6693
1993-02-01,123.8315
1993-03-01,134.0441
1993-04-01,141.2129
1993-05-01,151.0482
1993-06-01,165.6184
1993-07-01,159.9184
1993-08-01,152.7183
1993-09-01,128.7128
1993-10-01,109.9248
1993-11-01,96.6280
1993-12-01,90.8064
1994-01-01,99.8061
1994-02-01,120.1003
1994-03-01,134.6919
1994-04-01,141.7220
1994-05-01,145.2642
1994-06-01,159.7451
1994-07-01,156.3540
1994-08-01,144.0011
1994-09-01,121.6991
1994-10-01,110.2729
1994-11-01,102.3903
1994-12-01,94.4188
1995-01-01,105.2690
1995-02-01,122.9616
1995-03-01,139.2933
1995-04-01,150.5011
1995-05-01,149.1536
1995-06-01,174.9853
1995-07-01,173.5367
1995-08-01,165.2306
1995-09-01,138.3655
1995-10-01,127.4047
1995-11-01,108.4178
1995-12-01,96.0767
1996-01-01,109.1208
1996-02-01,129.8431
1996-03-01,145.8974
1996-04-01,152.4661
1996-05-01,157.5116
1996-06-01,184.7316
1996-07-01,169.9428
1996-08-01,153.3897
1996-09-01,136.6672
1996-10-01,113.5511
1996-11-01,97.7301
